"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Metric Name","Metric Unit","Metric Value"
"0","8437","ft_sgemm","127.0.0.1","ft_sgemm_small(int, int, int, float *, float *, float *, float, float)","1","7","(64, 1, 1)","(64, 64, 1)","0","8.7","Command line profiler metrics","gpu__time_active.sum","ns","23,552,384"
"0","8437","ft_sgemm","127.0.0.1","ft_sgemm_small(int, int, int, float *, float *, float *, float, float)","1","7","(64, 1, 1)","(64, 64, 1)","0","8.7","Command line profiler metrics","sm__sass_thread_inst_executed_op_fp16_pred_on.avg","inst","2,293,760"
"0","8437","ft_sgemm","127.0.0.1","ft_sgemm_small(int, int, int, float *, float *, float *, float, float)","1","7","(64, 1, 1)","(64, 64, 1)","0","8.7","Command line profiler metrics","sm__sass_thread_inst_executed_op_fp16_pred_on.avg.pct_of_peak_sustained_active","%","0.25"
"0","8437","ft_sgemm","127.0.0.1","ft_sgemm_small(int, int, int, float *, float *, float *, float, float)","1","7","(64, 1, 1)","(64, 64, 1)","0","8.7","Command line profiler metrics","sm__sass_thread_inst_executed_op_fp16_pred_on.avg.peak_sustained_active.per_second","inst/s","39,142,743,596.57"
